,source,model,FEest,SE,DF,pvalue,residual,phi,nobs,N,u95CI,l95CI,AIC,BIC,LL,RMSE
person_CESD,df.3s2,mm_H2,23.73549242,4.335213171,197,1.32E-07,83.11498389,-0.035360411,10000,201,32.23251023,15.2384746,73598.64513,73887.01873,-36759.32257,10.36602351
timecw,df.3s2,mm_H2,-0.031265836,0.004654029,9793,1.94E-11,83.11498389,-0.035360411,10000,201,-0.022143939,-0.040387734,73598.64513,73887.01873,-36759.32257,10.36602351
moment_NA_bray.bal.succb,df.3s2,mm_H2,-16.80700499,6.576240362,197,0.011351163,83.11498389,-0.035360411,10000,201,-3.917573885,-29.6964361,73598.64513,73887.01873,-36759.32257,10.36602351
moment_NA_bray.gra.succb,df.3s2,mm_H2,-27.54894129,3.608908499,197,9.62E-13,83.11498389,-0.035360411,10000,201,-20.47548063,-34.62240194,73598.64513,73887.01873,-36759.32257,10.36602351
moment_NAcwL1D,df.3s2,mm_H2,0.32838553,0.016319666,9793,2.83E-88,83.11498389,-0.035360411,10000,201,0.360372075,0.296398985,73598.64513,73887.01873,-36759.32257,10.36602351
moment_NA_bray.bal.succw:person_CESD,df.3s2,mm_H2,-26.72448759,5.973410892,9793,7.77E-06,83.11498389,-0.035360411,10000,201,-15.01660224,-38.43237294,73598.64513,73887.01873,-36759.32257,10.36602351
moment_NA_bray.gra.succw:person_CESD,df.3s2,mm_H2,-20.40977673,5.885878488,9793,0.000527416,83.11498389,-0.035360411,10000,201,-8.873454894,-31.94609857,73598.64513,73887.01873,-36759.32257,10.36602351
(Intercept),df.3s3,mm_H1,15.70128586,0.546204579,9795,1.55E-174,94.0832622,-0.032629826,10000,201,16.77184684,14.63072489,74874.4204,75011.40356,-37418.2102,11.17984222
moment_NA_bray.bal.succw,df.3s3,mm_H1,-3.574276138,0.905696517,9795,7.99E-05,94.0832622,-0.032629826,10000,201,-1.799110965,-5.349441312,74874.4204,75011.40356,-37418.2102,11.17984222
moment_NA_bray.gra.succw,df.3s3,mm_H1,-2.78587743,0.808952346,9795,0.000575982,94.0832622,-0.032629826,10000,201,-1.200330832,-4.371424029,74874.4204,75011.40356,-37418.2102,11.17984222
moment_NAcwL1D,df.3s3,mm_H1,0.328881858,0.016774621,9795,5.54E-84,94.0832622,-0.032629826,10000,201,0.361760115,0.296003602,74874.4204,75011.40356,-37418.2102,11.17984222
timecw,df.3s3,mm_H1,-0.032132943,0.004973857,9795,1.09E-10,94.0832622,-0.032629826,10000,201,-0.022384183,-0.041881703,74874.4204,75011.40356,-37418.2102,11.17984222
moment_NA_bray.bal.succb,df.3s3,mm_H1,-30.72828452,7.296543041,198,3.85E-05,94.0832622,-0.032629826,10000,201,-16.42706016,-45.02950888,74874.4204,75011.40356,-37418.2102,11.17984222
moment_NA_bray.gra.succb,df.3s3,mm_H1,-32.93996218,4.047904426,198,4.39E-14,94.0832622,-0.032629826,10000,201,-25.0060695,-40.87385485,74874.4204,75011.40356,-37418.2102,11.17984222
(Intercept),df.3s3,mm_H2,10.27251346,0.842213994,9793,5.68E-34,93.95193093,-0.033806611,10000,201,11.92325289,8.621774032,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NA_bray.bal.succw,df.3s3,mm_H2,2.59835966,1.379878353,9793,0.059725196,93.95193093,-0.033806611,10000,201,5.302921231,-0.106201911,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NA_bray.gra.succw,df.3s3,mm_H2,1.560833838,1.160817711,9793,0.178786046,93.95193093,-0.033806611,10000,201,3.836036551,-0.714368876,74822.35444,75110.72803,-37371.17722,10.94179892
person_CESD,df.3s3,mm_H2,25.45930855,4.358877933,197,2.12E-08,93.95193093,-0.033806611,10000,201,34.00270929,16.9159078,74822.35444,75110.72803,-37371.17722,10.94179892
timecw,df.3s3,mm_H2,-0.031719162,0.004956093,9793,1.62E-10,93.95193093,-0.033806611,10000,201,-0.022005221,-0.041433104,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NA_bray.bal.succb,df.3s3,mm_H2,-19.59658637,6.65186899,197,0.003606792,93.95193093,-0.033806611,10000,201,-6.558923154,-32.63424959,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NA_bray.gra.succb,df.3s3,mm_H2,-27.42980901,3.715972836,197,4.29E-12,93.95193093,-0.033806611,10000,201,-20.14650225,-34.71311577,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NAcwL1D,df.3s3,mm_H2,0.335867059,0.01655827,9793,1.22E-89,93.95193093,-0.033806611,10000,201,0.368321268,0.30341285,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NA_bray.bal.succw:person_CESD,df.3s3,mm_H2,-33.39622361,6.907697136,9793,1.35E-06,93.95193093,-0.033806611,10000,201,-19.85713722,-46.93531,74822.35444,75110.72803,-37371.17722,10.94179892
moment_NA_bray.gra.succw:person_CESD,df.3s3,mm_H2,-22.41623629,6.354070335,9793,0.000420861,93.95193093,-0.033806611,10000,201,-9.962258436,-34.87021415,74822.35444,75110.72803,-37371.17722,10.94179892
(Intercept),df.3s4,mm_H1,15.24614591,0.534554108,9795,5.96E-172,84.98689158,-0.048525002,10000,201,16.29387197,14.19841986,73854.43218,73991.41535,-36908.21609,10.64925471
moment_NA_bray.bal.succw,df.3s4,mm_H1,-3.547263467,0.849258354,9795,2.98E-05,84.98689158,-0.048525002,10000,201,-1.882717093,-5.211809842,73854.43218,73991.41535,-36908.21609,10.64925471
moment_NA_bray.gra.succw,df.3s4,mm_H1,-2.527106018,0.762197744,9795,0.000917949,84.98689158,-0.048525002,10000,201,-1.033198439,-4.021013597,73854.43218,73991.41535,-36908.21609,10.64925471
moment_NAcwL1D,df.3s4,mm_H1,0.327479698,0.016412017,9795,7.30E-87,84.98689158,-0.048525002,10000,201,0.359647252,0.295312145,73854.43218,73991.41535,-36908.21609,10.64925471
timecw,df.3s4,mm_H1,-0.03189174,0.004659979,9795,8.18E-12,84.98689158,-0.048525002,10000,201,-0.022758181,-0.041025299,73854.43218,73991.41535,-36908.21609,10.64925471
moment_NA_bray.bal.succb,df.3s4,mm_H1,-29.15310547,7.188019915,198,7.18E-05,84.98689158,-0.048525002,10000,201,-15.06458644,-43.2416245,73854.43218,73991.41535,-36908.21609,10.64925471
moment_NA_bray.gra.succb,df.3s4,mm_H1,-30.82998458,3.751389621,198,2.66E-14,84.98689158,-0.048525002,10000,201,-23.47726093,-38.18270824,73854.43218,73991.41535,-36908.21609,10.64925471
(Intercept),df.3s4,mm_H2,10.04329785,0.806861269,9793,2.67E-35,84.89965332,-0.047388741,10000,201,11.62474594,8.461849766,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NA_bray.bal.succw,df.3s4,mm_H2,2.060844074,1.330488343,9793,0.121428917,84.89965332,-0.047388741,10000,201,4.668601227,-0.546913079,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NA_bray.gra.succw,df.3s4,mm_H2,1.51932147,1.196273499,9793,0.204098689,84.89965332,-0.047388741,10000,201,3.864017529,-0.825374588,73813.97953,74102.35312,-36866.98976,10.41821709
person_CESD,df.3s4,mm_H2,24.55772692,4.212038579,197,2.23E-08,84.89965332,-0.047388741,10000,201,32.81332253,16.3021313,73813.97953,74102.35312,-36866.98976,10.41821709
timecw,df.3s4,mm_H2,-0.03170167,0.004659357,9793,1.08E-11,84.89965332,-0.047388741,10000,201,-0.022569331,-0.040834009,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NA_bray.bal.succb,df.3s4,mm_H2,-17.80894691,6.50477363,197,0.006751105,84.89965332,-0.047388741,10000,201,-5.059590593,-30.55830322,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NA_bray.gra.succb,df.3s4,mm_H2,-26.24276013,3.394163971,197,5.33E-13,84.89965332,-0.047388741,10000,201,-19.59019874,-32.89532151,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NAcwL1D,df.3s4,mm_H2,0.331314628,0.016376518,9793,3.41E-89,84.89965332,-0.047388741,10000,201,0.363412603,0.299216653,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NA_bray.bal.succw:person_CESD,df.3s4,mm_H2,-30.10938748,6.554684436,9793,4.41E-06,84.89965332,-0.047388741,10000,201,-17.26220598,-42.95656897,73813.97953,74102.35312,-36866.98976,10.41821709
moment_NA_bray.gra.succw:person_CESD,df.3s4,mm_H2,-20.6163645,5.947010936,9793,0.000529196,84.89965332,-0.047388741,10000,201,-8.960223065,-32.27250593,73813.97953,74102.35312,-36866.98976,10.41821709
(Intercept),df.3s5,mm_H1,13.15433142,0.559087759,9795,4.05E-119,76.67545793,-0.024090777,10000,201,14.25014343,12.05851941,72921.46326,73058.44642,-36441.73163,10.39541414
moment_NA_bray.bal.succw,df.3s5,mm_H1,-1.44827092,0.709981832,9795,0.041390008,76.67545793,-0.024090777,10000,201,-0.056706529,-2.839835311,72921.46326,73058.44642,-36441.73163,10.39541414
moment_NA_bray.gra.succw,df.3s5,mm_H1,-0.171614069,0.694140637,9795,0.804733539,76.67545793,-0.024090777,10000,201,1.18890158,-1.532129718,72921.46326,73058.44642,-36441.73163,10.39541414
moment_NAcwL1D,df.3s5,mm_H1,0.32536441,0.018430786,9795,1.10E-68,76.67545793,-0.024090777,10000,201,0.36148875,0.289240069,72921.46326,73058.44642,-36441.73163,10.39541414
timecw,df.3s5,mm_H1,-0.0244739,0.004521515,9795,6.35E-08,76.67545793,-0.024090777,10000,201,-0.01561173,-0.03333607,72921.46326,73058.44642,-36441.73163,10.39541414
moment_NA_bray.bal.succb,df.3s5,mm_H1,-18.12469168,7.822629626,198,0.021528762,76.67545793,-0.024090777,10000,201,-2.792337615,-33.45704575,72921.46326,73058.44642,-36441.73163,10.39541414
moment_NA_bray.gra.succb,df.3s5,mm_H1,-29.33841413,4.103977113,198,1.65E-11,76.67545793,-0.024090777,10000,201,-21.29461899,-37.38220928,72921.46326,73058.44642,-36441.73163,10.39541414
(Intercept),df.3s5,mm_H2,8.070227563,0.795245219,9793,4.44E-24,76.65776141,-0.021626455,10000,201,9.628908193,6.511546933,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NA_bray.bal.succw,df.3s5,mm_H2,1.966050895,1.09265445,9793,0.07199655,76.65776141,-0.021626455,10000,201,4.107653616,-0.175551826,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NA_bray.gra.succw,df.3s5,mm_H2,2.218870654,1.007936515,9793,0.027731015,76.65776141,-0.021626455,10000,201,4.194426223,0.243315084,72868.51671,73156.8903,-36394.25835,10.19517943
person_CESD,df.3s5,mm_H2,23.66786654,4.378886752,197,1.86E-07,76.65776141,-0.021626455,10000,201,32.25048457,15.0852485,72868.51671,73156.8903,-36394.25835,10.19517943
timecw,df.3s5,mm_H2,-0.024358067,0.004521365,9793,7.32E-08,76.65776141,-0.021626455,10000,201,-0.015496192,-0.033219942,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NA_bray.bal.succb,df.3s5,mm_H2,-7.467085386,6.536903429,197,0.254717016,76.65776141,-0.021626455,10000,201,5.345245335,-20.27941611,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NA_bray.gra.succb,df.3s5,mm_H2,-22.65298768,3.316128682,197,1.02E-10,76.65776141,-0.021626455,10000,201,-16.15337546,-29.1525999,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NAcwL1D,df.3s5,mm_H2,0.331056696,0.01828398,9793,4.23E-72,76.65776141,-0.021626455,10000,201,0.366893296,0.295220096,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NA_bray.bal.succw:person_CESD,df.3s5,mm_H2,-18.67542671,5.537345577,9793,0.000747419,76.65776141,-0.021626455,10000,201,-7.822229375,-29.52862404,72868.51671,73156.8903,-36394.25835,10.19517943
moment_NA_bray.gra.succw:person_CESD,df.3s5,mm_H2,-12.10875666,5.430908774,9793,0.025796566,76.65776141,-0.021626455,10000,201,-1.464175462,-22.75333786,72868.51671,73156.8903,-36394.25835,10.19517943
(Intercept),df.3s6,mm_H1,14.23816477,0.519287428,9795,1.56E-159,84.25231141,-0.049802713,10000,201,15.25596813,13.22036141,73784.49113,73921.4743,-36873.24557,10.54690275
moment_NA_bray.bal.succw,df.3s6,mm_H1,-2.873749816,0.812329634,9795,0.000405551,84.25231141,-0.049802713,10000,201,-1.281583734,-4.465915899,73784.49113,73921.4743,-36873.24557,10.54690275
moment_NA_bray.gra.succw,df.3s6,mm_H1,-1.071883719,0.746987224,9795,0.15133541,84.25231141,-0.049802713,10000,201,0.392211241,-2.535978678,73784.49113,73921.4743,-36873.24557,10.54690275
moment_NAcwL1D,df.3s6,mm_H1,0.323431877,0.017235577,9795,3.25E-77,84.25231141,-0.049802713,10000,201,0.357213608,0.289650146,73784.49113,73921.4743,-36873.24557,10.54690275
timecw,df.3s6,mm_H1,-0.02814912,0.004626515,9795,1.21E-09,84.25231141,-0.049802713,10000,201,-0.019081152,-0.037217089,73784.49113,73921.4743,-36873.24557,10.54690275
moment_NA_bray.bal.succb,df.3s6,mm_H1,-18.72471905,7.310160707,198,0.011167272,84.25231141,-0.049802713,10000,201,-4.396804061,-33.05263403,73784.49113,73921.4743,-36873.24557,10.54690275
moment_NA_bray.gra.succb,df.3s6,mm_H1,-30.3996862,3.880461195,198,2.82E-13,84.25231141,-0.049802713,10000,201,-22.79398225,-38.00539014,73784.49113,73921.4743,-36873.24557,10.54690275
(Intercept),df.3s6,mm_H2,9.470555022,0.798626182,9793,3.23E-32,84.21275051,-0.048247722,10000,201,11.03586234,7.905247705,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NA_bray.bal.succw,df.3s6,mm_H2,1.852266325,1.297092802,9793,0.153319797,84.21275051,-0.048247722,10000,201,4.394568217,-0.690035567,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NA_bray.gra.succw,df.3s6,mm_H2,1.605591491,1.23470237,9793,0.193498804,84.21275051,-0.048247722,10000,201,4.025608135,-0.814425154,73756.47494,74044.84854,-36838.23747,10.36655848
person_CESD,df.3s6,mm_H2,22.25188631,4.190218378,197,2.94E-07,84.21275051,-0.048247722,10000,201,30.46471433,14.03905829,73756.47494,74044.84854,-36838.23747,10.36655848
timecw,df.3s6,mm_H2,-0.027788248,0.004630719,9793,2.03E-09,84.21275051,-0.048247722,10000,201,-0.018712039,-0.036864456,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NA_bray.bal.succb,df.3s6,mm_H2,-10.87886644,6.589658995,197,0.100352311,84.21275051,-0.048247722,10000,201,2.036865192,-23.79459807,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NA_bray.gra.succb,df.3s6,mm_H2,-25.75106507,3.459926797,197,2.99E-12,84.21275051,-0.048247722,10000,201,-18.96960855,-32.53252159,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NAcwL1D,df.3s6,mm_H2,0.327013361,0.017230672,9793,6.62E-79,84.21275051,-0.048247722,10000,201,0.360785478,0.293241243,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NA_bray.bal.succw:person_CESD,df.3s6,mm_H2,-25.03710025,6.02267822,9793,3.25E-05,84.21275051,-0.048247722,10000,201,-13.23265094,-36.84154956,73756.47494,74044.84854,-36838.23747,10.36655848
moment_NA_bray.gra.succw:person_CESD,df.3s6,mm_H2,-13.33475609,5.521262262,9793,0.015746305,84.21275051,-0.048247722,10000,201,-2.513082055,-24.15643012,73756.47494,74044.84854,-36838.23747,10.36655848
