"","var","nobs","mean","wSD","bSD","ICC","min","max","1","2","3"
"1. M_nerv","df.1_M_nerv","3824","27.36","19.94","16.02","0.36","2.86","79.05","",".73 [.60,.83]",".75 [.63,.84]"
"2. M_nieder","df.1_M_nieder","3826","19.45","17.3","15.6","0.4","1.43","72.62",".22 [.19,.25]","",".90 [.84,.93]"
"3. M_bekuem","df.1_M_bekuem","3825","23.02","18.23","16.89","0.42","2.14","76.19",".31 [.28,.34]",".60 [.58,.62]",""
