,dataset,model,FEest,SE,DF,pvalue,residual,phi,nobs,N,u95CI,l95CI,AIC,BIC,LL,RMSE
timecw,DF2,mm1mcED(dfmm),0.003781484,0.007518667,4552,0.61502655,92.28360341,-0.035951673,4651,94,0.01851807,-0.010955103,34824.31776,34991.83318,-17386.15888,11.35033009
moment_NA_bray.bal.succb,DF2,mm1mcED(dfmm),-15.94645304,9.849975892,90,0.10896087,92.28360341,-0.035951673,4651,94,3.35949971,-35.25240579,34824.31776,34991.83318,-17386.15888,11.35033009
moment_NA_bray.gra.succb,DF2,mm1mcED(dfmm),-36.18304033,6.705100318,90,5.46E-07,92.28360341,-0.035951673,4651,94,-23.04104371,-49.32503695,34824.31776,34991.83318,-17386.15888,11.35033009
m_EDcb,DF2,mm1mcED(dfmm),-6.100679275,1.47897449,90,8.25E-05,92.28360341,-0.035951673,4651,94,-3.201889274,-8.999469276,34824.31776,34991.83318,-17386.15888,11.35033009
(Intercept),DF2,mm2mcED(dfmm),7.207178559,1.110774765,4550,9.60E-11,91.37505818,-0.03141599,4651,94,9.384297098,5.03006002,34772.68993,35094.80263,-17336.34496,10.85840705
moment_NA_bray.bal.succw,DF2,mm2mcED(dfmm),4.384042911,1.943400384,4550,0.024126574,91.37505818,-0.03141599,4651,94,8.193107664,0.574978158,34772.68993,35094.80263,-17336.34496,10.85840705
moment_NA_bray.gra.succw,DF2,mm2mcED(dfmm),6.756935054,2.059550859,4550,0.001043001,91.37505818,-0.03141599,4651,94,10.79365474,2.72021537,34772.68993,35094.80263,-17336.34496,10.85840705
person_CESD,DF2,mm2mcED(dfmm),31.02274177,5.777400777,89,6.23E-07,91.37505818,-0.03141599,4651,94,42.34644729,19.69903625,34772.68993,35094.80263,-17336.34496,10.85840705
timecw,DF2,mm2mcED(dfmm),0.001890283,0.007528891,4550,0.801770919,91.37505818,-0.03141599,4651,94,0.016646909,-0.012866344,34772.68993,35094.80263,-17336.34496,10.85840705
moment_NA_bray.bal.succb,DF2,mm2mcED(dfmm),-6.024188122,7.041132072,89,0.394532626,91.37505818,-0.03141599,4651,94,7.776430739,-19.82480698,34772.68993,35094.80263,-17336.34496,10.85840705
