"label","est","ci.lower","ci.upper"
"omega_within",0.678724032387851,0.661520451559865,0.695927613215838
"omega_between",0.92995503968677,0.899697444962071,0.960212634411468
"omega_within",0.760934900337817,0.750804812992045,0.77106498768359
"omega_between",0.941912956504346,0.921925499885643,0.96190041312305
"omega_within",0.731742925796629,0.724325341648488,0.739160509944771
"omega_between",0.932586867009808,0.916951502767052,0.948222231252565
