"","var","nobs","mean","wSD","bSD","ICC","min","max","1","2","3","4"
"1. ANGRY","df.2_ANGRY","5678","13.52","13.67","9.59","0.28","0.48","64.41","",".67 [.54,.77]",".64 [.50,.74]",".64 [.50,.74]"
"2. SAD","df.2_SAD","5676","17.26","14.82","12.81","0.37","1","64.8",".39 [.37,.41]","",".78 [.68,.85]",".94 [.91,.96]"
"3. ANX","df.2_ANX","5677","12.63","11.46","10.74","0.39","0.64","54.21",".31 [.29,.33]",".39 [.37,.41]","",".77 [.68,.84]"
"4. DEPRE","df.2_DEPRE","5677","16.27","12.7","14.93","0.5","1.55","56.86",".39 [.37,.41]",".64 [.63,.66]",".38 [.36,.41]",""
